"Home","Score","Away","Score"
"Philadelphia 76ers",121,"Indiana Pacers",110
"San Antonio Spurs",108,"Charlotte Hornets",101
"Utah Jazz",100,"Toronto Raptors",109
"Washington Wizards",122,"Cleveland Cavaliers",130
"Chicago Bulls",90,"New Orleans Pelicans",96
"Denver Nuggets",108,"Golden State Warriors",127
"Detroit Pistons",108,"Sacramento Kings",99
"Los Angeles Clippers",104,"Memphis Grizzlies",113
"Minnesota Timberwolves",112,"Dallas Mavericks",99
"Cleveland Cavaliers",115,"Atlanta Hawks",117
"Houston Rockets",137,"Utah Jazz",110
"Los Angeles Clippers",101,"Miami Heat",104
"Los Angeles Lakers",107,"Memphis Grizzlies",102
"Minnesota Timberwolves",112,"Charlotte Hornets",94
"New York Knicks",108,"Indiana Pacers",101
"Orlando Magic",88,"Boston Celtics",104
"Portland Trail Blazers",103,"Oklahoma City Thunder",99
"San Antonio Spurs",112,"Phoenix Suns",95
"Toronto Raptors",96,"Washington Wizards",107
"Atlanta Hawks",107,"Boston Celtics",110
"Golden State Warriors",97,"Miami Heat",80
"Phoenix Suns",92,"Brooklyn Nets",98
"Cleveland Cavaliers",124,"Milwaukee Bucks",119
"Denver Nuggets",112,"Brooklyn Nets",104
"Indiana Pacers",112,"New Orleans Pelicans",117
"New York Knicks",118,"Charlotte Hornets",113
"Portland Trail Blazers",97,"Memphis Grizzlies",98
"Sacramento Kings",94,"Oklahoma City Thunder",86
"San Antonio Spurs",120,"Los Angeles Clippers",107
"Toronto Raptors",119,"Chicago Bulls",114
"Utah Jazz",97,"Philadelphia 76ers",104
"Washington Wizards",99,"Dallas Mavericks",113
"Boston Celtics",107,"Los Angeles Lakers",96
"Detroit Pistons",114,"Indiana Pacers",97
"Golden State Warriors",125,"Minnesota Timberwolves",101
"Orlando Magic",112,"New York Knicks",99
"Phoenix Suns",115,"Miami Heat",126
"Denver Nuggets",102,"Oklahoma City Thunder",94
"Houston Rockets",117,"Cleveland Cavaliers",113
"Sacramento Kings",109,"Philadelphia 76ers",108
"Toronto Raptors",122,"New Orleans Pelicans",118
"Washington Wizards",111,"Los Angeles Lakers",95
"Boston Celtics",90,"Charlotte Hornets",87
"Chicago Bulls",87,"Indiana Pacers",105
"Detroit Pistons",111,"Atlanta Hawks",104
"Oklahoma City Thunder",120,"Los Angeles Clippers",111
"Phoenix Suns",112,"Orlando Magic",128
"Portland Trail Blazers",97,"Brooklyn Nets",101
"San Antonio Spurs",87,"Milwaukee Bucks",94
"Utah Jazz",74,"Miami Heat",84
"Dallas Mavericks",104,"Cleveland Cavaliers",111
"Denver Nuggets",125,"Orlando Magic",107
"Golden State Warriors",135,"Philadelphia 76ers",114
"Houston Rockets",111,"Memphis Grizzlies",96
"Milwaukee Bucks",98,"Los Angeles Lakers",90
"New Orleans Pelicans",111,"Los Angeles Clippers",103
"New York Knicks",118,"Sacramento Kings",91
"Phoenix Suns",118,"Minnesota Timberwolves",110
"San Antonio Spurs",133,"Chicago Bulls",94
"Utah Jazz",114,"Brooklyn Nets",106
"Washington Wizards",113,"Atlanta Hawks",94
"Boston Celtics",95,"Toronto Raptors",94
"Detroit Pistons",112,"Miami Heat",103
"Indiana Pacers",95,"Houston Rockets",118
"Oklahoma City Thunder",112,"Dallas Mavericks",99
"Golden State Warriors",110,"Orlando Magic",100
"Los Angeles Clippers",105,"Philadelphia 76ers",109
"Milwaukee Bucks",110,"Memphis Grizzlies",103
"New Orleans Pelicans",106,"Atlanta Hawks",105
"New York Knicks",101,"Cleveland Cavaliers",104
"Phoenix Suns",93,"Los Angeles Lakers",100
"Portland Trail Blazers",99,"Denver Nuggets",82
"Utah Jazz",98,"Minnesota Timberwolves",109
"Washington Wizards",110,"Sacramento Kings",92
"Brooklyn Nets",102,"Boston Celtics",109
"Dallas Mavericks",91,"San Antonio Spurs",97
"Houston Rockets",113,"Toronto Raptors",129
"Atlanta Hawks",126,"Sacramento Kings",80
"Charlotte Hornets",107,"Cleveland Cavaliers",115
"Los Angeles Lakers",109,"Philadelphia 76ers",115
"Memphis Grizzlies",113,"Indiana Pacers",116
"Miami Heat",93,"Washington Wizards",102
"Milwaukee Bucks",99,"Detroit Pistons",95
"Minnesota Timberwolves",98,"San Antonio Spurs",86
"New Orleans Pelicans",116,"Toronto Raptors",125
"New York Knicks",106,"Utah Jazz",101
"Oklahoma City Thunder",92,"Chicago Bulls",79
"Portland Trail Blazers",99,"Orlando Magic",94
"Boston Celtics",92,"Golden State Warriors",88
"Phoenix Suns",116,"Houston Rockets",142
"Brooklyn Nets",118,"Utah Jazz",107
"Chicago Bulls",123,"Charlotte Hornets",120
"Cleveland Cavaliers",118,"Los Angeles Clippers",113
"Dallas Mavericks",87,"Minnesota Timberwolves",111
"Denver Nuggets",146,"New Orleans Pelicans",114
"Indiana Pacers",107,"Detroit Pistons",100
"Los Angeles Lakers",113,"Phoenix Suns",122
"Sacramento Kings",86,"Portland Trail Blazers",82
"San Antonio Spurs",104,"Oklahoma City Thunder",101
"Toronto Raptors",107,"New York Knicks",84
"Washington Wizards",88,"Miami Heat",91
"Atlanta Hawks",99,"Boston Celtics",110
"Charlotte Hornets",102,"Los Angeles Clippers",87
"Dallas Mavericks",111,"Milwaukee Bucks",79
"Memphis Grizzlies",83,"Houston Rockets",105
"Orlando Magic",85,"Utah Jazz",125
"Philadelphia 76ers",116,"Golden State Warriors",124
"Portland Trail Blazers",102,"Sacramento Kings",90
"Brooklyn Nets",111,"Golden State Warriors",118
"Los Angeles Lakers",127,"Denver Nuggets",109
"Miami Heat",95,"Indiana Pacers",120
"Minnesota Timberwolves",97,"Detroit Pistons",100
"Phoenix Suns",113,"Chicago Bulls",105
"Toronto Raptors",100,"Washington Wizards",91
"Charlotte Hornets",118,"Minnesota Timberwolves",102
"Dallas Mavericks",102,"Boston Celtics",110
"Detroit Pistons",88,"Cleveland Cavaliers",116
"Memphis Grizzlies",92,"Portland Trail Blazers",100
"Milwaukee Bucks",88,"Washington Wizards",99
"New Orleans Pelicans",114,"Oklahoma City Thunder",107
"New York Knicks",107,"Los Angeles Clippers",85
"Orlando Magic",97,"Indiana Pacers",105
"Philadelphia 76ers",107,"Utah Jazz",86
"Sacramento Kings",98,"Denver Nuggets",114
"San Antonio Spurs",96,"Atlanta Hawks",85
"Los Angeles Lakers",103,"Chicago Bulls",94
