"Home","Score","Away","Score"
"ATL",4,"LAD",1
"FLA",5,"WSN",0
"DET",1,"CLE",8
"CIN",4,"PHI",0
"NYY",6,"KCR",3
"BOS",3,"MIN",0
"BAL",11,"TBD",5
"ANA",11,"SEA",5
"SFG",1,"MIL",7
"SDP",4,"ARI",9
"COL",4,"OAK",1
"HOU",3,"TEX",7
"FLA",2,"WSN",1
"CHW",9,"TOR",5
"BOS",10,"MIN",4
"ATL",1,"LAD",5
"PIT",5,"NYM",0
"NYY",5,"KCR",4
"BAL",11,"TBD",2
"CIN",6,"PHI",2
"DET",2,"CLE",1
"STL",6,"CHC",2
"NYY",5,"KCR",10
"SFG",1,"MIL",3
"SDP",2,"ARI",6
"ANA",4,"SEA",3
"COL",3,"OAK",1
"STL",5,"CHC",2
"HOU",2,"TEX",11
"CHW",5,"TOR",10
"ATL",1,"LAD",4
"FLA",1,"WSN",9
"CIN",6,"PHI",4
"BOS",4,"MIN",3
"PIT",5,"NYM",4
"BAL",15,"TBD",5
"DET",3,"CLE",8
"SFG",5,"MIL",7
"TEX",6,"OAK",7
"ATL",2,"LAD",8
"FLA",3,"WSN",10
"BOS",1,"MIN",2
"PIT",6,"NYM",12
"NYY",7,"KCR",2
"BAL",3,"TBD",4
"CIN",4,"PHI",9
"ANA",12,"CHW",8
"CHC",7,"ARI",6
"ANA",11,"CHW",3
"COL",3,"HOU",2
"TEX",5,"OAK",6
"SEA",3,"SFG",2
"TOR",6,"MIN",12
"CHC",2,"ARI",1
"KCR",4,"DET",8
"MIL",3,"WSN",7
"CLE",4,"PIT",0
"PHI",7,"LAD",3
"CIN",7,"STL",3
"TBD",3,"NYY",2
"NYM",6,"SDP",4
"SEA",3,"SFG",4
"ANA",2,"CHW",4
"COL",2,"HOU",8
"KCR",5,"DET",4
"MIL",5,"WSN",4
"TEX",10,"OAK",13
"CHC",1,"ARI",5
"TBD",0,"NYY",4
"NYM",6,"SDP",3
"CLE",4,"PIT",9
"TOR",0,"MIN",5
"PHI",7,"LAD",4
"BAL",7,"BOS",6
"CIN",2,"STL",4
"FLA",9,"ATL",3
"ANA",3,"CHW",5
"MIL",6,"WSN",1
"KCR",4,"DET",5
"TEX",3,"OAK",15
"CHC",1,"ARI",7
"TBD",7,"NYY",6
"NYM",2,"SDP",3
"FLA",1,"ATL",12
"CLE",0,"PIT",7
"CIN",2,"STL",1
"TOR",3,"MIN",8
"PHI",6,"LAD",7
"BAL",3,"BOS",5
"PHI",5,"SDP",0
"SEA",8,"CHW",2
"ARI",6,"COL",1
"OAK",6,"SFG",5
"ANA",14,"HOU",5
"TEX",5,"CLE",0
"CHC",7,"STL",2
"KCR",5,"MIN",3
"MIL",2,"LAD",11
"WSN",6,"ATL",2
"TBD",6,"FLA",4
"DET",1,"BOS",9
"CIN",2,"PIT",9
"TOR",5,"BAL",4
"PHI",2,"SDP",10
"SEA",0,"CHW",5
"OAK",4,"SFG",3
"ARI",5,"COL",6
"TEX",3,"CLE",16
"KCR",4,"MIN",2
"CHC",3,"STL",6
"ANA",0,"HOU",7
"MIL",4,"LAD",2
"CIN",2,"PIT",6
"TBD",2,"FLA",3
"DET",5,"BOS",0
"TOR",4,"BAL",1
"NYY",7,"NYM",6
"CHC",7,"STL",2
"ANA",1,"HOU",3
"SEA",3,"CHW",1
"ARI",10,"COL",11
"OAK",1,"SFG",5
"KCR",6,"MIN",5
"MIL",4,"LAD",6
"TEX",8,"CLE",9
"TBD",5,"FLA",6
"DET",0,"BOS",1
"CIN",1,"PIT",12
"TOR",8,"BAL",7
"WSN",5,"ATL",8
"PHI",11,"SDP",5
"NYY",5,"NYM",7
"CHC",5,"STL",18
"CHC",9,"STL",6
"SDP",4,"CHC",7
"SFG",2,"OAK",6
"LAD",5,"ANA",3
"COL",4,"SEA",3
"STL",6,"CIN",4
"MIN",11,"TBD",7
"HOU",3,"DET",6
"CHW",10,"KCR",1
"PIT",7,"MIL",6
"ATL",5,"ARI",1
"NYM",1,"WSN",6
"FLA",10,"PHI",5
"CLE",5,"NYY",2
"BOS",5,"TOR",2
"BAL",6,"TEX",5
"SDP",6,"CHC",11
"SFG",3,"OAK",4
"COL",4,"SEA",1
"LAD",4,"ANA",5
"CLE",4,"NYY",5
"BAL",1,"TEX",0
"STL",2,"CIN",8
"NYM",7,"WSN",4
"HOU",9,"DET",1
"FLA",2,"PHI",0
"ATL",0,"ARI",3
"PIT",6,"MIL",2
"MIN",6,"TBD",19
"CHW",0,"KCR",5
"BOS",6,"TOR",2
"PIT",2,"MIL",1
"SFG",7,"OAK",1
"LAD",3,"ANA",2
"SDP",4,"CHC",5
"COL",10,"SEA",7
"STL",1,"CIN",9
"MIN",11,"TBD",8
"HOU",3,"DET",0
"CHW",9,"KCR",6
"ATL",1,"ARI",2
"NYM",4,"WSN",2
"FLA",0,"PHI",2
"CLE",6,"NYY",5
"BOS",7,"TOR",13
"PIT",7,"MIL",3
"BAL",4,"TEX",5
"ANA",11,"SEA",2
"SDP",2,"LAD",3
"MIN",5,"TBD",1
"NYM",4,"WSN",5
"CLE",4,"NYY",7
"BOS",6,"TOR",4
"PIT",6,"MIL",3
"BAL",4,"PHI",5
"COL",5,"ARI",1
"HOU",4,"OAK",6
"SDP",2,"LAD",4
"ANA",0,"SEA",3
"COL",19,"ARI",2
"HOU",3,"OAK",8
"CHW",4,"STL",0
"ATL",9,"TOR",5
"NYM",3,"PHI",0
"FLA",5,"MIL",4
"CLE",19,"CIN",4
"BAL",0,"NYY",9
"BOS",4,"TEX",2
"SFG",5,"CHC",4
"MIN",8,"KCR",5
"PIT",2,"WSN",0
"TBD",4,"DET",2
"SDP",4,"LAD",1
"ANA",9,"SEA",3
"SFG",0,"CHC",2
"COL",3,"ARI",5
"MIN",4,"KCR",9
"HOU",6,"OAK",5
"CHW",2,"STL",14
"ATL",2,"TOR",6
"TBD",5,"DET",2
"NYM",3,"PHI",7
"FLA",4,"MIL",8
"CLE",4,"CIN",7
"BOS",8,"TEX",4
"PIT",1,"WSN",5
"BAL",6,"NYY",5
"SFG",2,"CHC",1
"SDP",2,"LAD",8
"MIN",3,"KCR",1
"HOU",0,"OAK",2
"BAL",2,"NYY",10
"TBD",10,"DET",9
"NYM",1,"PHI",3
"FLA",4,"MIL",3
"CLE",5,"CIN",7
"BOS",5,"TEX",0
"PIT",6,"WSN",3
"NYM",4,"PHI",3
"BAL",5,"NYY",4
"ANA",4,"LAD",3
"SEA",6,"COL",4
"ARI",3,"SDP",4
"SFG",13,"STL",8
"CHC",6,"CIN",5
"KCR",4,"BOS",7
"MIN",10,"BAL",1
"MIL",10,"ATL",3
"HOU",2,"CHW",1
"WSN",2,"FLA",10
"PIT",4,"PHI",1
"NYM",0,"TBD",9
"DET",0,"TEX",3
"CLE",0,"OAK",6
"TOR",1,"NYY",2
"ARI",20,"SDP",5
"WSN",18,"FLA",4
"KCR",4,"BOS",15
"ANA",1,"LAD",3
"SEA",1,"COL",5
"NYM",0,"TBD",3
"MIL",1,"ATL",5
"HOU",12,"CHW",6
"DET",7,"TEX",2
"CLE",3,"OAK",6
"TOR",5,"NYY",8
"SFG",2,"STL",3
"PIT",2,"PHI",3
"CHC",8,"CIN",7
"MIN",5,"BAL",4
"SFG",3,"STL",2
"SEA",1,"COL",7
"ANA",3,"LAD",2
"ARI",3,"SDP",1
"KCR",5,"BOS",10
"MIN",6,"BAL",2
"MIL",5,"ATL",4
"HOU",11,"CHW",4
"NYM",5,"TBD",1
"CLE",10,"OAK",4
"TOR",6,"NYY",2
"WSN",3,"FLA",2
"PIT",5,"PHI",17
"DET",3,"TEX",1
"CHC",2,"CIN",3
"SFG",2,"STL",11
"SEA",4,"ANA",1
"ARI",3,"SDP",6
"MIN",5,"BAL",2
"MIL",7,"ATL",2
"HOU",4,"CHW",3
"DET",5,"TEX",7
"WSN",14,"FLA",12
"ARI",4,"STL",8
"LAD",6,"PIT",4
"COL",1,"SFG",0
"KCR",2,"CLE",3
"TOR",3,"NYM",6
"TEX",4,"HOU",5
"CIN",7,"CHW",4
"SEA",4,"ANA",7
"MIL",3,"MIN",2
"OAK",4,"SDP",2
"PHI",4,"BAL",1
"CHC",5,"DET",2
"FLA",3,"TBD",0
"NYY",6,"ATL",2
"WSN",0,"BOS",3
"SEA",4,"ANA",1
"LAD",8,"PIT",3
"ARI",4,"STL",2
"OAK",6,"SDP",2
"KCR",4,"CLE",6
"COL",8,"SFG",1
"TEX",3,"HOU",5
"FLA",6,"TBD",9
"CIN",8,"CHW",12
"TOR",8,"NYM",6
"PHI",3,"BAL",2
"NYY",8,"ATL",5
"WSN",4,"BOS",11
"MIL",2,"MIN",0
"CHC",5,"DET",3
"LAD",17,"PIT",1
"ARI",3,"STL",6
"COL",5,"SFG",2
