"Home","Score","Away","Score"
"New York Islanders",5,"Winnipeg Jets",2
"New York Rangers",2,"Toronto Maple Leafs",3
"Pittsburgh Penguins",0,"Anaheim Ducks",4
"San Jose Sharks",2,"Los Angeles Kings",0
"Tampa Bay Lightning",3,"Minnesota Wild",0
"Vancouver Canucks",1,"St. Louis Blues",3
"Vegas Golden Knights",3,"Washington Capitals",0
"Anaheim Ducks",1,"Vegas Golden Knights",4
"Boston Bruins",5,"Ottawa Senators",1
"Carolina Hurricanes",3,"Montreal Canadiens",1
"Colorado Avalanche",1,"Arizona Coyotes",3
"Minnesota Wild",4,"Dallas Stars",2
"New Jersey Devils",3,"Detroit Red Wings",1
"New York Islanders",3,"Buffalo Sabres",2
"New York Rangers",1,"Washington Capitals",0
"Pittsburgh Penguins",5,"Columbus Blue Jackets",4
"St. Louis Blues",1,"Nashville Predators",2
"Winnipeg Jets",4,"Edmonton Oilers",3
"Arizona Coyotes",4,"Toronto Maple Leafs",7
"Florida Panthers",3,"Philadelphia Flyers",2
"Los Angeles Kings",2,"Vegas Golden Knights",3
"San Jose Sharks",3,"Calgary Flames",2
"Tampa Bay Lightning",3,"Montreal Canadiens",1
"Vancouver Canucks",5,"Chicago Blackhawks",2
"Washington Capitals",4,"Boston Bruins",3
"Anaheim Ducks",2,"Calgary Flames",1
"Carolina Hurricanes",2,"Pittsburgh Penguins",1
"Colorado Avalanche",4,"Toronto Maple Leafs",3
"Dallas Stars",4,"St. Louis Blues",2
"Detroit Red Wings",3,"New York Rangers",2
"Edmonton Oilers",3,"Chicago Blackhawks",4
"Minnesota Wild",4,"Nashville Predators",2
"New Jersey Devils",3,"Buffalo Sabres",4
"Ottawa Senators",5,"Columbus Blue Jackets",4
"Tampa Bay Lightning",3,"Philadelphia Flyers",5
"Winnipeg Jets",4,"New York Islanders",2
"Florida Panthers",2,"Montreal Canadiens",0
"Nashville Predators",3,"Minnesota Wild",0
"Ottawa Senators",0,"Boston Bruins",5
"St. Louis Blues",3,"Carolina Hurricanes",2
"Vancouver Canucks",3,"Los Angeles Kings",4
"Washington Capitals",5,"New Jersey Devils",2
"Anaheim Ducks",5,"Arizona Coyotes",2
"Columbus Blue Jackets",0,"Tampa Bay Lightning",5
"Calgary Flames",4,"Chicago Blackhawks",3
"Colorado Avalanche",6,"New York Islanders",1
"Dallas Stars",6,"San Jose Sharks",0
"Detroit Red Wings",4,"Pittsburgh Penguins",1
"Edmonton Oilers",0,"Winnipeg Jets",5
"Vegas Golden Knights",6,"Toronto Maple Leafs",3
"Buffalo Sabres",2,"New York Rangers",3
"Carolina Hurricanes",4,"Washington Capitals",5
"Colorado Avalanche",3,"Winnipeg Jets",2
"Dallas Stars",1,"Columbus Blue Jackets",2
"Edmonton Oilers",0,"Los Angeles Kings",5
"Minnesota Wild",5,"Florida Panthers",1
"Montreal Canadiens",1,"San Jose Sharks",4
"New York Islanders",1,"Boston Bruins",5
"Philadelphia Flyers",1,"Pittsburgh Penguins",5
"St. Louis Blues",3,"New Jersey Devils",2
"Toronto Maple Leafs",0,"Tampa Bay Lightning",2
"Vancouver Canucks",0,"Anaheim Ducks",5
"Vegas Golden Knights",3,"Nashville Predators",0
"Detroit Red Wings",2,"Ottawa Senators",1
"New York Rangers",2,"Chicago Blackhawks",5
"Arizona Coyotes",3,"Nashville Predators",2
"Calgary Flames",4,"Los Angeles Kings",3
"Colorado Avalanche",2,"Columbus Blue Jackets",0
"Dallas Stars",4,"New Jersey Devils",3
"Edmonton Oilers",2,"Anaheim Ducks",1
"Minnesota Wild",6,"Buffalo Sabres",2
"Montreal Canadiens",2,"Tampa Bay Lightning",1
"Philadelphia Flyers",6,"New York Islanders",4
"Pittsburgh Penguins",0,"Carolina Hurricanes",4
"St. Louis Blues",2,"Vegas Golden Knights",1
"Toronto Maple Leafs",3,"San Jose Sharks",2
"Chicago Blackhawks",4,"Vegas Golden Knights",5
"Detroit Red Wings",4,"Florida Panthers",2
"New York Islanders",0,"Pittsburgh Penguins",4
"Ottawa Senators",6,"San Jose Sharks",5
"Winnipeg Jets",4,"Buffalo Sabres",3
"Arizona Coyotes",1,"New York Rangers",2
"Boston Bruins",7,"Carolina Hurricanes",1
"Calgary Flames",3,"Anaheim Ducks",2
"Colorado Avalanche",7,"Minnesota Wild",2
"Dallas Stars",5,"Edmonton Oilers",1
"Los Angeles Kings",3,"Nashville Predators",4
"Ottawa Senators",6,"Tampa Bay Lightning",3
"Philadelphia Flyers",6,"St. Louis Blues",3
"Toronto Maple Leafs",3,"Vancouver Canucks",2
"Columbus Blue Jackets",3,"Florida Panthers",2
"Chicago Blackhawks",4,"Edmonton Oilers",1
"Detroit Red Wings",2,"Tampa Bay Lightning",5
"Montreal Canadiens",5,"Vancouver Canucks",2
"New York Islanders",5,"New Jersey Devils",4
"Philadelphia Flyers",4,"Buffalo Sabres",1
"Pittsburgh Penguins",6,"Boston Bruins",5
"Vegas Golden Knights",2,"New York Rangers",1
"Winnipeg Jets",4,"San Jose Sharks",1
"Washington Capitals",4,"St. Louis Blues",3
"Toronto Maple Leafs",2,"Columbus Blue Jackets",3
"Buffalo Sabres",4,"Winnipeg Jets",7
"Minnesota Wild",2,"Calgary Flames",3
"Nashville Predators",2,"Edmonton Oilers",1
"Ottawa Senators",2,"Chicago Blackhawks",8
"St. Louis Blues",4,"Florida Panthers",7
"Tampa Bay Lightning",5,"Carolina Hurricanes",4
"Washington Capitals",3,"Vancouver Canucks",1
"Chicago Blackhawks",1,"Minnesota Wild",2
"Toronto Maple Leafs",3,"Ottawa Senators",4
"Buffalo Sabres",3,"Columbus Blue Jackets",1
"Tampa Bay Lightning",1,"Calgary Flames",5
"Washington Capitals",1,"Carolina Hurricanes",3
"Arizona Coyotes",2,"Edmonton Oilers",4
"Carolina Hurricanes",3,"Washington Capitals",4
"Columbus Blue Jackets",2,"Vancouver Canucks",5
"Chicago Blackhawks",2,"Winnipeg Jets",1
"Florida Panthers",2,"Calgary Flames",4
"Dallas Stars",1,"Colorado Avalanche",4
"Los Angeles Kings",2,"Anaheim Ducks",4
"Minnesota Wild",4,"Winnipeg Jets",1
"Montreal Canadiens",3,"Boston Bruins",4
"New Jersey Devils",3,"Philadelphia Flyers",5
"New York Rangers",2,"New York Islanders",7
"Pittsburgh Penguins",4,"Detroit Red Wings",1
"San Jose Sharks",6,"Arizona Coyotes",5
"Vegas Golden Knights",2,"Edmonton Oilers",3
"Carolina Hurricanes",1,"Calgary Flames",4
"Chicago Blackhawks",0,"Detroit Red Wings",4
"Minnesota Wild",2,"Vancouver Canucks",3
"Pittsburgh Penguins",5,"New York Rangers",2
"Boston Bruins",2,"Dallas Stars",3
"Colorado Avalanche",3,"Anaheim Ducks",1
"Los Angeles Kings",1,"San Jose Sharks",4
"Montreal Canadiens",4,"New York Islanders",5
"Arizona Coyotes",2,"San Jose Sharks",3
"Detroit Red Wings",2,"Dallas Stars",4
"Nashville Predators",1,"Vegas Golden Knights",0
"New York Islanders",1,"New Jersey Devils",4
"New York Rangers",5,"Philadelphia Flyers",1
"Toronto Maple Leafs",1,"St. Louis Blues",2
"Anaheim Ducks",5,"Pittsburgh Penguins",3
"Boston Bruins",4,"Montreal Canadiens",1
"Columbus Blue Jackets",2,"Dallas Stars",1
"Colorado Avalanche",5,"San Jose Sharks",3
"Los Angeles Kings",1,"Pittsburgh Penguins",3
"New Jersey Devils",4,"Washington Capitals",3
"Nashville Predators",3,"Arizona Coyotes",2
"New York Islanders",2,"Boston Bruins",5
"New York Rangers",4,"Buffalo Sabres",3
"Ottawa Senators",1,"St. Louis Blues",4
"Philadelphia Flyers",3,"Toronto Maple Leafs",2
"Tampa Bay Lightning",1,"Vegas Golden Knights",4
"Anaheim Ducks",2,"Los Angeles Kings",1
"Florida Panthers",4,"Vegas Golden Knights",3
"Washington Capitals",2,"Montreal Canadiens",3
"Buffalo Sabres",1,"Dallas Stars",7
"Calgary Flames",1,"Winnipeg Jets",2
"Chicago Blackhawks",3,"New York Islanders",7
"Colorado Avalanche",3,"New York Rangers",1
"Detroit Red Wings",1,"Carolina Hurricanes",3
"Edmonton Oilers",5,"Vancouver Canucks",2
"Minnesota Wild",5,"Tampa Bay Lightning",2
"Montreal Canadiens",1,"Boston Bruins",4
"Nashville Predators",4,"Florida Panthers",3
"Ottawa Senators",3,"Toronto Maple Leafs",4
"Philadelphia Flyers",3,"New Jersey Devils",1
"San Jose Sharks",2,"Pittsburgh Penguins",1
"St. Louis Blues",2,"Arizona Coyotes",5
"Anaheim Ducks",2,"San Jose Sharks",6
"Carolina Hurricanes",1,"Vegas Golden Knights",5
"Los Angeles Kings",4,"New York Rangers",2
"Winnipeg Jets",1,"Vancouver Canucks",0
"Washington Capitals",1,"Philadelphia Flyers",2
"Arizona Coyotes",3,"New York Islanders",2
"Calgary Flames",1,"Buffalo Sabres",2
"Chicago Blackhawks",0,"Tampa Bay Lightning",2
"Minnesota Wild",3,"Ottawa Senators",1
"New Jersey Devils",0,"Detroit Red Wings",3
"Toronto Maple Leafs",2,"Colorado Avalanche",4
"Anaheim Ducks",6,"New York Rangers",3
"Boston Bruins",3,"New Jersey Devils",2
"Dallas Stars",6,"Florida Panthers",1
"Detroit Red Wings",2,"Philadelphia Flyers",3
"Edmonton Oilers",0,"Buffalo Sabres",5
"Montreal Canadiens",4,"Colorado Avalanche",2
"Nashville Predators",3,"Tampa Bay Lightning",4
"Pittsburgh Penguins",3,"Carolina Hurricanes",1
"San Jose Sharks",4,"Winnipeg Jets",5
"St. Louis Blues",3,"Ottawa Senators",0
"Vancouver Canucks",6,"Los Angeles Kings",2
"Vegas Golden Knights",6,"Columbus Blue Jackets",3
"Calgary Flames",1,"Los Angeles Kings",2
"Chicago Blackhawks",2,"Toronto Maple Leafs",3
"Anaheim Ducks",4,"Winnipeg Jets",3
"Arizona Coyotes",1,"Columbus Blue Jackets",2
"Dallas Stars",1,"Toronto Maple Leafs",4
"Detroit Red Wings",1,"Chicago Blackhawks",5
"Edmonton Oilers",4,"Calgary Flames",3
"Florida Panthers",2,"Washington Capitals",4
"Montreal Canadiens",5,"Carolina Hurricanes",6
"New Jersey Devils",0,"Nashville Predators",3
"Ottawa Senators",2,"Boston Bruins",3
"Philadelphia Flyers",1,"Tampa Bay Lightning",5
"Pittsburgh Penguins",6,"Minnesota Wild",3
"San Jose Sharks",5,"New York Rangers",6
"St. Louis Blues",3,"Colorado Avalanche",1
"Vancouver Canucks",0,"Buffalo Sabres",4
"Vegas Golden Knights",1,"New York Islanders",2
"Boston Bruins",1,"Anaheim Ducks",3
"Buffalo Sabres",1,"New Jersey Devils",3
"Carolina Hurricanes",2,"Ottawa Senators",1
"Columbus Blue Jackets",2,"Minnesota Wild",3
"Calgary Flames",2,"Vegas Golden Knights",4
"Dallas Stars",0,"Los Angeles Kings",3
"Nashville Predators",1,"Chicago Blackhawks",2
"New York Islanders",1,"Florida Panthers",4
"Pittsburgh Penguins",5,"San Jose Sharks",2
"St. Louis Blues",3,"Montreal Canadiens",1
"Vancouver Canucks",4,"Colorado Avalanche",3
"Winnipeg Jets",3,"Tampa Bay Lightning",1
"Detroit Red Wings",2,"San Jose Sharks",1
"Toronto Maple Leafs",5,"New York Islanders",0
"Washington Capitals",5,"Philadelphia Flyers",3
"Arizona Coyotes",1,"Dallas Stars",4
"Boston Bruins",3,"St. Louis Blues",1
"Buffalo Sabres",2,"Florida Panthers",4
"Carolina Hurricanes",2,"Montreal Canadiens",0
"Calgary Flames",4,"Tampa Bay Lightning",7
"Edmonton Oilers",3,"Colorado Avalanche",4
"New Jersey Devils",4,"Philadelphia Flyers",3
"Nashville Predators",5,"Los Angeles Kings",0
"New York Rangers",0,"Toronto Maple Leafs",4
"Ottawa Senators",2,"Anaheim Ducks",1
"Vancouver Canucks",4,"Chicago Blackhawks",2
"Winnipeg Jets",2,"Vegas Golden Knights",3
"Carolina Hurricanes",1,"Detroit Red Wings",4
"Columbus Blue Jackets",1,"San Jose Sharks",3
"Minnesota Wild",5,"Vegas Golden Knights",2
"Pittsburgh Penguins",7,"Washington Capitals",4
"Boston Bruins",4,"Toronto Maple Leafs",1
"Buffalo Sabres",0,"St. Louis Blues",1
"Calgary Flames",4,"Chicago Blackhawks",3
"Dallas Stars",6,"Minnesota Wild",1
"Florida Panthers",3,"Detroit Red Wings",2
"Los Angeles Kings",6,"Arizona Coyotes",0
"Montreal Canadiens",5,"Anaheim Ducks",2
"New Jersey Devils",3,"Pittsburgh Penguins",1
"Nashville Predators",5,"New York Rangers",2
"New York Islanders",4,"Columbus Blue Jackets",3
"Philadelphia Flyers",3,"Ottawa Senators",4
"Vancouver Canucks",2,"Tampa Bay Lightning",4
"Winnipeg Jets",3,"Colorado Avalanche",0
"Carolina Hurricanes",1,"San Jose Sharks",3
"Montreal Canadiens",4,"Ottawa Senators",1
"Washington Capitals",3,"Vegas Golden Knights",4
"Dallas Stars",2,"New York Rangers",1
"Edmonton Oilers",6,"Tampa Bay Lightning",2
"New York Islanders",4,"Nashville Predators",5
"Toronto Maple Leafs",7,"Anaheim Ducks",4
"Buffalo Sabres",3,"Anaheim Ducks",4
"Carolina Hurricanes",1,"Philadelphia Flyers",2
"Columbus Blue Jackets",2,"Washington Capitals",3
"Chicago Blackhawks",2,"Calgary Flames",3
"Colorado Avalanche",3,"San Jose Sharks",1
"Detroit Red Wings",2,"Boston Bruins",3
"Florida Panthers",3,"Vancouver Canucks",1
"Ottawa Senators",5,"New Jersey Devils",3
"Pittsburgh Penguins",5,"Vegas Golden Knights",4
"St. Louis Blues",2,"Minnesota Wild",6
"Winnipeg Jets",4,"Arizona Coyotes",3
"Los Angeles Kings",5,"Edmonton Oilers",2
"New York Rangers",1,"Boston Bruins",6
"Toronto Maple Leafs",3,"Nashville Predators",2
"Buffalo Sabres",4,"New York Islanders",3
"Chicago Blackhawks",2,"Dallas Stars",4
"Minnesota Wild",3,"Arizona Coyotes",4
"New Jersey Devils",2,"Calgary Flames",3
"Ottawa Senators",4,"Nashville Predators",3
"Philadelphia Flyers",5,"Montreal Canadiens",3
"San Jose Sharks",3,"Vegas Golden Knights",5
"St. Louis Blues",6,"Colorado Avalanche",1
"Tampa Bay Lightning",5,"Vancouver Canucks",2
"Anaheim Ducks",3,"Edmonton Oilers",2
"Carolina Hurricanes",4,"Vancouver Canucks",1
"Dallas Stars",4,"Pittsburgh Penguins",3
"Florida Panthers",1,"Los Angeles Kings",3
"New York Islanders",7,"Detroit Red Wings",6
"New York Rangers",4,"Calgary Flames",3
"Winnipeg Jets",2,"St. Louis Blues",5
"Washington Capitals",4,"Columbus Blue Jackets",2
"Arizona Coyotes",3,"Philadelphia Flyers",4
"Boston Bruins",2,"Buffalo Sabres",4
"Carolina Hurricanes",3,"Colorado Avalanche",1
"Columbus Blue Jackets",6,"New Jersey Devils",1
"Minnesota Wild",3,"Chicago Blackhawks",0
"Montreal Canadiens",2,"Nashville Predators",3
"San Jose Sharks",6,"Edmonton Oilers",4
"Tampa Bay Lightning",4,"Los Angeles Kings",3
"Toronto Maple Leafs",6,"Ottawa Senators",3
"Anaheim Ducks",2,"San Jose Sharks",3
"Buffalo Sabres",4,"Colorado Avalanche",5
"Dallas Stars",0,"Vancouver Canucks",6
"New Jersey Devils",3,"Boston Bruins",5
"New York Islanders",2,"Calgary Flames",3
"St. Louis Blues",1,"Pittsburgh Penguins",4
"Vegas Golden Knights",1,"Philadelphia Flyers",4
"Winnipeg Jets",1,"New York Rangers",3
"Washington Capitals",4,"Detroit Red Wings",5
"Arizona Coyotes",6,"Chicago Blackhawks",1
"Edmonton Oilers",5,"Florida Panthers",7
"Toronto Maple Leafs",4,"Tampa Bay Lightning",3
"Boston Bruins",5,"Calgary Flames",2
"Buffalo Sabres",5,"Tampa Bay Lightning",3
"Carolina Hurricanes",7,"Los Angeles Kings",3
"Detroit Red Wings",2,"Anaheim Ducks",1
"Minnesota Wild",3,"New York Rangers",2
"Nashville Predators",4,"St. Louis Blues",3
"New York Islanders",1,"Columbus Blue Jackets",4
"Philadelphia Flyers",4,"New Jersey Devils",5
"Pittsburgh Penguins",6,"Ottawa Senators",3
"San Jose Sharks",1,"Arizona Coyotes",2
"Vegas Golden Knights",5,"Chicago Blackhawks",2
"Winnipeg Jets",4,"Washington Capitals",3
"Colorado Avalanche",2,"Montreal Canadiens",0
"Toronto Maple Leafs",6,"Columbus Blue Jackets",3
"Vancouver Canucks",3,"Florida Panthers",4
"Arizona Coyotes",5,"Montreal Canadiens",2
"Chicago Blackhawks",2,"Anaheim Ducks",3
"Minnesota Wild",2,"Washington Capitals",5
"New Jersey Devils",5,"Carolina Hurricanes",2
"Nashville Predators",3,"Calgary Flames",4
"New York Islanders",3,"New York Rangers",0
"Ottawa Senators",3,"Buffalo Sabres",2
"Pittsburgh Penguins",3,"Los Angeles Kings",1
"San Jose Sharks",4,"Vancouver Canucks",1
"Tampa Bay Lightning",4,"Detroit Red Wings",1
"Vegas Golden Knights",4,"Edmonton Oilers",1
"Carolina Hurricanes",0,"New York Islanders",3
"Columbus Blue Jackets",1,"Philadelphia Flyers",2
"Dallas Stars",2,"St. Louis Blues",1
"Winnipeg Jets",6,"Colorado Avalanche",1
"Arizona Coyotes",1,"Edmonton Oilers",0
"Buffalo Sabres",2,"Los Angeles Kings",4
"Calgary Flames",3,"Florida Panthers",6
"Chicago Blackhawks",7,"Washington Capitals",1
"Minnesota Wild",2,"Anaheim Ducks",3
"Nashville Predators",1,"Detroit Red Wings",3
"Ottawa Senators",6,"New York Rangers",3
"Pittsburgh Penguins",5,"Toronto Maple Leafs",3
"Tampa Bay Lightning",3,"New Jersey Devils",4
"Vancouver Canucks",6,"Boston Bruins",1
"Vegas Golden Knights",6,"Montreal Canadiens",3
"Carolina Hurricanes",2,"New Jersey Devils",3
"Columbus Blue Jackets",2,"Pittsburgh Penguins",5
"Colorado Avalanche",2,"Edmonton Oilers",4
"Detroit Red Wings",2,"Toronto Maple Leafs",3
"New York Rangers",4,"Philadelphia Flyers",7
"San Jose Sharks",5,"Dallas Stars",2
"Winnipeg Jets",7,"Florida Panthers",2
"Buffalo Sabres",2,"Washington Capitals",3
"Calgary Flames",1,"Boston Bruins",2
"Chicago Blackhawks",1,"Los Angeles Kings",3
"Nashville Predators",5,"Ottawa Senators",2
"New York Islanders",3,"Minnesota Wild",5
"Vegas Golden Knights",0,"Anaheim Ducks",2
"Detroit Red Wings",2,"Nashville Predators",3
"Edmonton Oilers",2,"Boston Bruins",3
"New Jersey Devils",1,"Columbus Blue Jackets",2
"Philadelphia Flyers",3,"Montreal Canadiens",2
"St. Louis Blues",2,"San Jose Sharks",3
"Toronto Maple Leafs",1,"Florida Panthers",0
"Vancouver Canucks",4,"Colorado Avalanche",5
"Winnipeg Jets",3,"Los Angeles Kings",4
"Washington Capitals",2,"Tampa Bay Lightning",4
"Anaheim Ducks",2,"Dallas Stars",0
"Chicago Blackhawks",3,"Ottawa Senators",2
"Vegas Golden Knights",7,"Calgary Flames",3
"Arizona Coyotes",2,"Calgary Flames",5
"Detroit Red Wings",2,"Buffalo Sabres",3
"Edmonton Oilers",3,"Colorado Avalanche",2
"Florida Panthers",3,"Washington Capitals",2
"Los Angeles Kings",0,"Dallas Stars",2
"Montreal Canadiens",3,"New York Rangers",1
"New Jersey Devils",2,"Minnesota Wild",4
"Nashville Predators",7,"San Jose Sharks",1
"Ottawa Senators",3,"Tampa Bay Lightning",4
"Philadelphia Flyers",2,"Columbus Blue Jackets",1
"Toronto Maple Leafs",4,"New York Islanders",3
"Carolina Hurricanes",1,"Pittsburgh Penguins",6
"Chicago Blackhawks",3,"San Jose Sharks",1
"New York Rangers",1,"Minnesota Wild",4
"St. Louis Blues",0,"Winnipeg Jets",4
"Vegas Golden Knights",6,"Vancouver Canucks",3
"Arizona Coyotes",2,"Anaheim Ducks",0
"Columbus Blue Jackets",3,"Chicago Blackhawks",2
"Calgary Flames",5,"Colorado Avalanche",1
"Dallas Stars",3,"Winnipeg Jets",5
"Detroit Red Wings",3,"Carolina Hurricanes",1
"Florida Panthers",6,"Pittsburgh Penguins",5
"Los Angeles Kings",3,"Edmonton Oilers",4
"Montreal Canadiens",3,"Tampa Bay Lightning",4
"New Jersey Devils",2,"New York Islanders",1
"Ottawa Senators",3,"Philadelphia Flyers",5
"Toronto Maple Leafs",4,"Boston Bruins",3
"Washington Capitals",5,"Buffalo Sabres",1
"Anaheim Ducks",5,"Edmonton Oilers",6
"Arizona Coyotes",1,"Vancouver Canucks",3
"Buffalo Sabres",4,"Boston Bruins",1
"Minnesota Wild",3,"San Jose Sharks",2
"Nashville Predators",4,"St. Louis Blues",0
"New York Rangers",2,"Detroit Red Wings",3
"Columbus Blue Jackets",5,"Washington Capitals",1
"Colorado Avalanche",3,"Vancouver Canucks",1
"Los Angeles Kings",3,"Vegas Golden Knights",2
"Montreal Canadiens",0,"Philadelphia Flyers",1
"Tampa Bay Lightning",4,"Toronto Maple Leafs",3
"Boston Bruins",4,"Carolina Hurricanes",3
"Dallas Stars",2,"Calgary Flames",0
"Florida Panthers",3,"Toronto Maple Leafs",2
"Minnesota Wild",8,"St. Louis Blues",3
"Pittsburgh Penguins",2,"New Jersey Devils",3
"San Jose Sharks",5,"Edmonton Oilers",2
"Vegas Golden Knights",1,"Los Angeles Kings",4
"Winnipeg Jets",5,"Nashville Predators",6
"Washington Capitals",3,"Ottawa Senators",2
"Colorado Avalanche",5,"Calgary Flames",2
"Montreal Canadiens",3,"New York Islanders",1
"St. Louis Blues",2,"Detroit Red Wings",1
"Tampa Bay Lightning",1,"Buffalo Sabres",2
"Vancouver Canucks",5,"New York Rangers",6
"Arizona Coyotes",5,"Minnesota Wild",3
"Boston Bruins",8,"Pittsburgh Penguins",4
"Dallas Stars",4,"Tampa Bay Lightning",5
"Edmonton Oilers",2,"Nashville Predators",4
"Florida Panthers",3,"New Jersey Devils",2
"Los Angeles Kings",5,"Columbus Blue Jackets",2
"Philadelphia Flyers",1,"Carolina Hurricanes",4
"San Jose Sharks",7,"Chicago Blackhawks",2
"Anaheim Ducks",4,"Columbus Blue Jackets",2
"Carolina Hurricanes",3,"New Jersey Devils",1
"Calgary Flames",1,"New York Rangers",3
"Colorado Avalanche",7,"Minnesota Wild",1
"Florida Panthers",4,"Buffalo Sabres",1
"New York Islanders",3,"Montreal Canadiens",6
"Vancouver Canucks",3,"Nashville Predators",4
"Vegas Golden Knights",4,"Ottawa Senators",5
"Winnipeg Jets",4,"Detroit Red Wings",3
"Arizona Coyotes",2,"Ottawa Senators",1
"Boston Bruins",2,"Montreal Canadiens",1
"Dallas Stars",3,"St. Louis Blues",2
"Edmonton Oilers",2,"New York Rangers",3
"Los Angeles Kings",3,"Chicago Blackhawks",5
"Pittsburgh Penguins",3,"New York Islanders",2
"Tampa Bay Lightning",7,"Philadelphia Flyers",6
"Washington Capitals",5,"Toronto Maple Leafs",2
"Anaheim Ducks",6,"Chicago Blackhawks",3
"Carolina Hurricanes",2,"Winnipeg Jets",3
"Colorado Avalanche",3,"Nashville Predators",4
"Florida Panthers",4,"Philadelphia Flyers",1
"Minnesota Wild",4,"Detroit Red Wings",1
"New Jersey Devils",2,"Vegas Golden Knights",3
"San Jose Sharks",2,"Columbus Blue Jackets",4
"Buffalo Sabres",5,"Toronto Maple Leafs",3
"Dallas Stars",2,"Ottawa Senators",3
"Edmonton Oilers",4,"Arizona Coyotes",3
"Pittsburgh Penguins",4,"Calgary Flames",3
"Vancouver Canucks",4,"New York Islanders",3
"Anaheim Ducks",4,"Washington Capitals",0
"Boston Bruins",6,"Detroit Red Wings",5
"Columbus Blue Jackets",4,"Vegas Golden Knights",1
"Chicago Blackhawks",2,"Colorado Avalanche",1
"Minnesota Wild",6,"Carolina Hurricanes",2
"New Jersey Devils",6,"Montreal Canadiens",4
"Nashville Predators",2,"Dallas Stars",0
"New York Rangers",0,"Winnipeg Jets",3
"Tampa Bay Lightning",5,"Florida Panthers",4
"Buffalo Sabres",1,"Calgary Flames",5
"Philadelphia Flyers",2,"Pittsburgh Penguins",5
"Vancouver Canucks",1,"Arizona Coyotes",2
"Boston Bruins",3,"Philadelphia Flyers",2
"Columbus Blue Jackets",5,"Colorado Avalanche",4
"Chicago Blackhawks",2,"Carolina Hurricanes",3
"Detroit Red Wings",0,"Vegas Golden Knights",4
"Edmonton Oilers",2,"New York Islanders",1
"Florida Panthers",5,"Montreal Canadiens",0
"Los Angeles Kings",3,"Washington Capitals",1
"New Jersey Devils",2,"Winnipeg Jets",3
"Nashville Predators",4,"Anaheim Ducks",2
"Ottawa Senators",3,"Buffalo Sabres",4
"San Jose Sharks",2,"St. Louis Blues",0
"Tampa Bay Lightning",5,"New York Rangers",3
"Columbus Blue Jackets",3,"Detroit Red Wings",2
"Dallas Stars",2,"Anaheim Ducks",1
"Ottawa Senators",1,"Calgary Flames",2
"Vancouver Canucks",2,"Minnesota Wild",5
"Boston Bruins",7,"Chicago Blackhawks",4
"Buffalo Sabres",1,"Vegas Golden Knights",2
"Colorado Avalanche",5,"Arizona Coyotes",2
"Edmonton Oilers",4,"Minnesota Wild",1
"Florida Panthers",4,"New York Rangers",3
"Los Angeles Kings",2,"St. Louis Blues",7
"Nashville Predators",2,"New Jersey Devils",3
"Philadelphia Flyers",2,"Winnipeg Jets",1
"San Jose Sharks",0,"Washington Capitals",2
"Tampa Bay Lightning",3,"Montreal Canadiens",2
"Toronto Maple Leafs",5,"Pittsburgh Penguins",2
"Arizona Coyotes",1,"Vancouver Canucks",0
"Calgary Flames",2,"New York Islanders",5
"Chicago Blackhawks",3,"Boston Bruins",1
"Pittsburgh Penguins",3,"Dallas Stars",1
"Anaheim Ducks",2,"St. Louis Blues",4
"Columbus Blue Jackets",5,"Montreal Canadiens",2
"Florida Panthers",3,"Ottawa Senators",5
"Los Angeles Kings",3,"Vancouver Canucks",0
"New York Rangers",6,"Carolina Hurricanes",3
"Philadelphia Flyers",2,"Vegas Golden Knights",3
"San Jose Sharks",5,"Detroit Red Wings",3
"Washington Capitals",3,"Winnipeg Jets",2
"Arizona Coyotes",4,"Los Angeles Kings",3
"Carolina Hurricanes",4,"Boston Bruins",6
"Calgary Flames",1,"Edmonton Oilers",0
"Minnesota Wild",1,"Colorado Avalanche",5
"Montreal Canadiens",4,"Dallas Stars",2
"Nashville Predators",3,"Winnipeg Jets",1
"Tampa Bay Lightning",4,"Ottawa Senators",7
"Anaheim Ducks",3,"Vancouver Canucks",0
"Edmonton Oilers",3,"San Jose Sharks",4
"New York Rangers",4,"Pittsburgh Penguins",3
"Toronto Maple Leafs",6,"Dallas Stars",5
"Vegas Golden Knights",3,"New Jersey Devils",8
"Arizona Coyotes",2,"Nashville Predators",3
"Buffalo Sabres",2,"Toronto Maple Leafs",5
"Florida Panthers",3,"Boston Bruins",0
"Los Angeles Kings",4,"Detroit Red Wings",1
"Montreal Canadiens",3,"Pittsburgh Penguins",5
"New York Islanders",3,"Washington Capitals",7
"Philadelphia Flyers",3,"Columbus Blue Jackets",5
"St. Louis Blues",1,"Colorado Avalanche",4
"Winnipeg Jets",6,"Chicago Blackhawks",2
"Anaheim Ducks",4,"Detroit Red Wings",2
"Calgary Flames",4,"San Jose Sharks",7
"Colorado Avalanche",2,"Nashville Predators",4
"Ottawa Senators",3,"Dallas Stars",2
"Vegas Golden Knights",2,"Minnesota Wild",4
"Washington Capitals",6,"New York Islanders",3
