"Home","Score","Away","Score"
"Carolina Hurricanes",1,"Tampa Bay Lightning",5
"Colorado Avalanche",5,"Dallas Stars",3
"Minnesota Wild",0,"Vancouver Canucks",1
"Montreal Canadiens",5,"Florida Panthers",1
"Nashville Predators",2,"Calgary Flames",3
"New York Islanders",5,"Arizona Coyotes",3
"Ottawa Senators",2,"Los Angeles Kings",3
"Philadelphia Flyers",2,"Anaheim Ducks",6
"Pittsburgh Penguins",2,"Edmonton Oilers",1
"Vegas Golden Knights",4,"Chicago Blackhawks",2
"Columbus Blue Jackets",5,"Buffalo Sabres",1
"St. Louis Blues",5,"Calgary Flames",2
"Boston Bruins",2,"San Jose Sharks",1
"Edmonton Oilers",5,"Dallas Stars",4
"Florida Panthers",8,"Anaheim Ducks",3
"Minnesota Wild",6,"New York Islanders",4
"Montreal Canadiens",0,"Los Angeles Kings",4
"New York Rangers",5,"Arizona Coyotes",2
"Ottawa Senators",5,"Philadelphia Flyers",4
"Pittsburgh Penguins",2,"Winnipeg Jets",1
"Tampa Bay Lightning",3,"Detroit Red Wings",2
"Toronto Maple Leafs",3,"Carolina Hurricanes",6
"Vancouver Canucks",6,"Washington Capitals",2
"Carolina Hurricanes",1,"St. Louis Blues",2
"Columbus Blue Jackets",2,"Winnipeg Jets",1
"Calgary Flames",1,"Dallas Stars",2
"Chicago Blackhawks",1,"Nashville Predators",2
"New Jersey Devils",5,"Ottawa Senators",4
"Vegas Golden Knights",7,"Colorado Avalanche",0
"Boston Bruins",1,"Los Angeles Kings",2
"Buffalo Sabres",2,"San Jose Sharks",3
"Colorado Avalanche",6,"Chicago Blackhawks",3
"Edmonton Oilers",2,"Washington Capitals",5
"Florida Panthers",2,"Detroit Red Wings",3
"Minnesota Wild",2,"Pittsburgh Penguins",1
"Montreal Canadiens",5,"New York Rangers",4
"New Jersey Devils",4,"Arizona Coyotes",3
"Nashville Predators",2,"New York Islanders",6
"St. Louis Blues",4,"Columbus Blue Jackets",1
"Tampa Bay Lightning",1,"Anaheim Ducks",4
"Toronto Maple Leafs",2,"Philadelphia Flyers",4
"Carolina Hurricanes",3,"Anaheim Ducks",4
"Calgary Flames",2,"Washington Capitals",1
"Winnipeg Jets",7,"Pittsburgh Penguins",1
"Columbus Blue Jackets",4,"Boston Bruins",3
"Florida Panthers",5,"Tampa Bay Lightning",8
